features_sorted,feature_names_EWRE
507,benefit
55,acoustic
3352,men
4496,rent
850,change
4088,potential
1837,errand
5808,unis
1083,concept
268,approach
3359,mental
1555,disorder
2279,gather
2342,google
880,chen
1265,critical
4894,share
3191,losing
4968,similarly
2246,funded
5216,statistic
5217,statistically
5908,verify
5310,subjective
1412,denominator
3005,known
1348,dealing
5689,tremendous
3146,literature
5891,varies
893,chinese
413,bag
2056,filter
4733,sauce
2932,jog
5016,sleepy
3775,overnight
4946,shy
4678,russia
4931,shouting
4569,restrictive
5659,transactional
4037,poem
2544,hoarder
3604,nominate
5839,unstable
2571,hook
419,bakery
4251,pupil
3644,numb
1656,drill
5540,thinker
3843,partial
2747,indifferent
2655,iffy
4945,shuts
5320,substantially
5900,vehemently
3347,member
2998,knife
4351,realizing
3723,opposed
4255,purge
4782,scrap
3111,liar
5033,slurring
1801,engrave
4878,sewer
2227,frustrated
2970,kettle
2804,inspire
5213,statement
5630,toss
3865,pastry
47,ache
3451,moisturiser
1400,delete
319,asleep
1592,divide
3050,lawyer
3040,latte
3095,lens
4655,roughly
5092,soma
2074,firstly
1291,cupboard
2774,informal
3828,parallel
4098,powerlessness
2604,housewife
1247,crawl
5748,unappreciative
412,baffle
5389,surroundings
4391,recreational
4534,reserved
5337,suffocated
2083,fixable
5675,traumas
1666,drown
5063,sober
4041,poison
2184,france
5799,uni
5923,videos
1526,discipline
464,bean
889,chill
4265,pyjama
4597,reward
3435,mix
4890,shame
570,bloody
5381,surgery
4244,puff
504,belonging
1550,disinfect
454,bath
16,abstract
4795,sea
3038,lately
3986,piper
3009,la
1731,eight
1120,consequence
2287,gel
4524,rescue
2559,homemade
2690,impending
5107,sooner
3085,legs
997,coke
3407,minimal
2568,honesty
3413,minute
1278,crumble
5913,via
2020,feb
362,august
5470,tearful
4476,relocation
2300,geographical
2677,immigrate
4285,quinoa
5935,violent
5372,supply
4055,pontificating
3783,overstate
3441,mobilise
5747,unannounced
5245,stinginess
3648,nurse
2637,hypocrisy
807,catastrophe
4333,raw
1206,correctly
3134,limp
127,agreed
6132,wound
4741,scald
5947,visibly
126,agree
2076,fish
3265,manipulate
5060,snuggle
4651,rotate
4129,prepping
3215,luxury
5581,timer
3327,meat
3824,paper
4703,salaried
259,appliance
4171,probationary
4106,praise
6098,woe
4522,requirement
2387,greenwich
4871,settlement
1482,dietary
3411,minstrel
4535,reservoir
1888,exams
4173,proceed
4760,scenery
157,alive
2462,harm
6042,welcome
351,attachment
4193,progress
1672,dryer
257,appetite
1246,crash
655,brie
5240,stiffly
606,boris
2654,idly
5105,sony
2294,generate
5351,sully
1443,despise
3827,parade
216,annoyance
1969,facing
3916,performer
1105,confounder
3156,loathe
2172,founder
